new play session: 01-01-0001 0:00:00
00:00:00-Level 2 - World tutorials
00:00:02-CIRCLE {X:747,5658 Y:715,1755} SQUARE {X:134,7036 Y:709,2129}
00:00:03-CIRCLE {X:827,292 Y:719,9143} SQUARE {X:236,9274 Y:709,9901}
00:00:04.0156250-CIRCLE {X:1016,983 Y:719,9992} SQUARE {X:476,2218 Y:710,0145}
00:00:04.5937500-FINISH 3,52000016719103
00:00:05.0156250-CIRCLE {X:1196,928 Y:717,2857} SQUARE {X:523,8542 Y:698,5684}
00:00:06.0312500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:06.6718750-Level 2 - World tutorials
00:00:07.0312500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:07.6718750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:08.0468750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:08.6875000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:09.0468750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:09.6875000-CIRCLE {X:1145,705 Y:715,0431} SQUARE {X:104 Y:212,6765}
00:00:10.0625000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:10.7031250-CIRCLE {X:1191,814 Y:716,453} SQUARE {X:134,4767 Y:213,3594}
00:00:11.0781250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:11.7031250-CIRCLE {X:1192,358 Y:714,3547} SQUARE {X:118,1832 Y:214,0147}
00:00:12.0781250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:12.7187500-CIRCLE {X:1198,92 Y:720,0265} SQUARE {X:90,00511 Y:214,021}
00:00:13.0937500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:13.7187500-CIRCLE {X:1175,833 Y:719,9514} SQUARE {X:89,99287 Y:213,9845}
00:00:14.0937500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:14.7343750-CIRCLE {X:1032,023 Y:720,0447} SQUARE {X:160,1214 Y:214,012}
00:00:15.1093750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:15.7500000-CIRCLE {X:832,4206 Y:512,7014} SQUARE {X:344,135 Y:193,7573}
00:00:16.1093750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:16.7500000-CIRCLE {X:631,1917 Y:407,2979} SQUARE {X:624,2373 Y:198,1473}
